,decision_ID,date,holder_ID,LOC,euipo_ind_holder,euipo_ind_TM_opp,euipo_ind_TM_app,boip_ind_holder,boip_ind_TM_opp,boip_ind_TM_app
0,2813874,17-01-2018,716400,+,Err,Err,Err,Err,Err,Err
1,2539453,09-03-2017,,+,Err,Err,Err,Err,Err,Err
2,2728957,31-05-2017,37079,+,Err,Err,Err,Err,Err,Err
3,3089467,27-08-2021,488980,-,Err,Err,Err,Err,Err,Err
4,2529363,03-11-2016,630087,+,886,,,,,1
5,2535972,16-09-2016,700702,+,,Err,Err,2,Err,Err
6,3123748,21-12-2021,129758,+,2,2,,,,2
7,3054590,10-04-2019,475942,+,2,2,1,,,
8,2659913,06-04-2017,190085,-,Err,Err,Err,Err,Err,Err
9,2714494,22-02-2018,22808,-,Err,Err,Err,Err,Err,Err
10,3052070,28-05-2019,430886,+ -,2,2,1,,,1
11,3135389,25-03-2022,37554,+,,,1,,,1
12,2846924,19-12-2017,106203,+,Err,Err,Err,Err,Err,Err
13,3081662,26-05-2020,714137,-,Err,Err,Err,Err,Err,Err
14,3120755,08-07-2021,117379,+ -,3,3,1,2,2,
15,3131811,05-10-2021,1017371,+,78,,1,,,
16,3095237,28-10-2021,664701,+,2,2,1,,,1
17,3057139,28-11-2019,162605,+,2,2,1,,,
18,3089655,27-07-2020,98689,+,,,20,,2,
19,3085645,24-05-2022,999713,+,,,1,Err,,1
20,2647959,20-03-2017,639712,+,2,2,1,,,1
21,2749060,31-05-2018,112477,+,212,,1,,,1
22,2637034,23-08-2017,40306,+,2,2,1,,,1
23,3083148,06-05-2020,792186,+ -,2,2,1,,,1
24,2774605,29-11-2017,168421,+,Err,Err,Err,Err,Err,Err
25,2424896,06-12-2016,171173,+ -,2,2,1,,,1
26,3081265,27-04-2020,178018,+,Err,Err,Err,Err,Err,Err
27,3056742,29-10-2019,344212,-,,,1,,,1
28,2839739,17-01-2020,34416,+,2,2,1,,,1
29,3050642,08-04-2019,788947,-,2,2,1,,,1
30,2776741,31-01-2018,468074,-,Err,Err,Err,Err,Err,Err
31,2693540,08-03-2017,93826,+ -,Err,Err,Err,Err,Err,Err
32,2558529,13-09-2016,143263,+ -,,,1,Err,Err,Err
